id	HR	HR.95L	HR.95H	pvalue
Age	1.0246180692678	1.00946851662166	1.03999497813318	0.00137455713546562
Gender	1.32391744906489	0.928320096261134	1.88809594772086	0.12131271721271
Stage	1.54390568727431	1.25896041235759	1.89334370469539	3.01721663305653e-05
T	1.34966506571141	1.09586386683993	1.66224642012752	0.00478344505497623
M	2.18006894309685	1.25379492495637	3.79065228455985	0.00575684847292114
N	1.31640327208239	1.13783426560217	1.52299647421159	0.000218961799707573
Treatment	0.939638674016902	0.677438746813255	1.3033220226354	0.709170403515732
riskScore	1.1440963630114	1.08742488030792	1.20372129749806	2.06445002623391e-07
