id,CITED2,HMGA2,CCNG1,SNHG14,LINC00324,hsa-mir-335,FOXC1,label
1,3942.203263,207.4949448,3518.865614,1531.260405,169.6152776,362.3896321,1805.806518,1
2,1171.040161,95.34301872,7642.085882,918.068763,225.9051011,491.6146184,901.0431777,1
3,13142.79093,502.6168132,5538.49199,397.9936872,268.374813,418.5125373,3094.768986,1
4,2047.447966,48.03528341,10656.59032,536.0499888,156.6971797,30.96037367,3243.928491,1
5,3417.29061,223.6224052,7320.228184,2332.548711,87.94311421,104.0655169,3255.999165,1
6,4198.063003,99.70916829,13330.24306,428.4611723,265.0496733,426.6417107,2530.288916,1
7,3970.388217,42.51677868,4160.028858,3417.344446,128.4598028,46.62818742,2186.203644,1
8,2831.503558,70.86268901,2752.048234,1071.782435,147.8176962,1585.354263,1369.839092,1
9,2253.291128,208.5839812,2860.309829,1084.355887,191.6892971,167.2417319,5025.34346,1
10,3156.493392,750.1228899,3894.144402,215.0018862,58.87337124,181.0536946,3046.717427,1
11,3139.325021,1153.194153,6184.79433,645.1456711,244.826019,314.7513736,1719.212118,1
12,1770.346059,3825.984615,5306.072609,599.3915597,110.3346862,750.4875983,923.4417823,1
13,4409.443293,26.89522207,6041.100495,1780.651045,156.1531185,480.1756376,466.6674406,1
14,11743.83621,29.08465263,7103.46841,11811.02021,174.50304,94.27262626,1069.081375,1
15,3210.113832,1445.979077,2693.303463,1155.675461,84.25822279,275.5887635,771.0470624,1
16,2871.843802,1059.096027,3764.0755,642.2569811,131.8705178,225.2952723,1390.994561,1
17,1168.181564,688.6418839,4046.53481,401.6403015,559.6169818,505.4912891,3559.833725,1
18,3431.223834,499.2323836,2162.571105,1040.441581,63.99960125,564.868322,1359.603869,1
19,552.0635033,521.3399546,1177.110787,174.7309217,110.4059489,983.2155936,3233.737737,1
20,6466.16553,243.2012964,4833.566041,643.4686236,96.94120888,781.9877651,2597.797237,1
21,2931.767236,318.949986,10284.96395,275.9096675,174.6809923,434.6264679,824.4645896,1
22,1127.167484,852.1126684,2099.173239,374.4671404,161.6832902,62.23594318,1142.039269,1
23,1516.878187,807.1971001,6281.257265,261.5855744,185.4499376,534.8932465,481.5004349,1
24,1671.492466,207.146396,18170.97978,257.2821142,158.9146993,283.7781954,228.903874,1
25,4292.360103,7132.335571,2951.089301,231.5498455,35.89921365,881.4476035,6217.260102,1
26,5508.400242,138.8075917,7632.887128,3850.350236,415.7235283,110.3266909,480.5772821,1
27,6081.163707,304.9147756,4876.519409,881.7376085,108.1828588,25.00561691,1532.781373,1
28,3793.811255,61.35594844,8658.368702,766.6785498,246.445542,125.5610599,1458.783759,1
29,1433.739316,27117.62109,12536.33014,368.6575009,165.9049501,180.9585023,2706.69314,1
30,4982.370907,977.7544337,4105.177694,1023.555571,112.5105587,278.7889433,2922.314004,1
31,3108.04724,211.0684161,6042.270367,612.8849809,75.36095191,147.2075843,270.4982442,1
32,13191.4478,21.08178008,5630.512681,11167.28076,65.58930835,117.508685,399.3453431,1
33,2069.88782,80.57211275,8298.954254,543.6079802,176.7924591,106.9611894,13077.41747,1
34,1901.732048,239.8057615,8451.642936,400.7069805,83.99394807,312.340255,1118.249539,1
35,3330.053129,97.05449062,5091.575509,2062.210524,234.5781966,119.4470707,1838.30596,1
36,3540.191328,492.3516322,6096.515316,752.3507057,295.6441531,161.1281534,2696.113373,1
37,4599.150952,45.52318168,9395.252516,809.5740075,195.9612549,306.8059366,1757.71112,1
38,2560.596792,316.5662479,4157.951319,1795.564621,116.5732749,470.8660416,1499.577419,1
39,2636.08846,1730.022717,5403.387703,480.5278906,63.38271568,535.0654848,843.9743513,1
40,1394.219605,3449.142853,2597.649071,394.5326131,94.5473472,671.2716018,2516.220109,1
41,2221.127922,1059.944219,10663.63803,345.2437465,64.8668802,179.7606155,2070.046412,1
42,2478.97831,30.31731139,2972.324001,612.8966796,149.3219918,62.06734526,2119.470965,1
43,2787.578068,328.9606685,4997.202468,765.5549161,114.6805248,283.626061,761.9963352,1
44,3909.45368,1904.6993,4617.355436,103.383965,272.2330733,1291.161548,975.7288401,1
45,1253.277453,530.0382696,2210.437849,612.5344185,64.45476213,354.8570451,750.4010804,1
46,3193.103813,370.8478921,5590.116807,200.9230991,245.1705636,513.4028275,4134.7307,1
47,2430.926773,237.4944026,4010.033455,745.7979962,124.5138832,874.7594307,1115.78611,1
48,1714.07239,70.81174603,3627.399635,2049.449952,169.8865959,50.12310576,446.5105244,1
49,2239.142592,1428.13967,8665.85816,383.8152608,72.8692106,85.68415426,598.5994673,1
50,3226.973501,2425.001661,5325.25242,596.9362957,96.12197919,403.6436102,775.262425,1
51,1536.079505,1820.059752,18238.96166,261.2063889,99.51169838,300.5875138,3650.481295,1
52,3148.657511,1187.876768,8488.38701,2035.95733,361.1149335,165.1572738,484.6393131,1
53,1502.713186,999.7990593,7159.219635,439.0472722,202.7289468,754.0183089,414.8923421,1
54,2365.932836,2926.39575,8490.235821,142.5027153,99.17324522,2284.19899,480.4937621,1
55,1907.000205,3539.696646,3888.157429,333.0958758,45.05641608,1414.382321,1654.139923,1
56,3543.696479,39.9217438,10703.7107,632.1031751,301.3041502,355.331211,1350.908083,1
57,1760.047199,165.6049392,4206.007571,1693.265303,102.9707031,943.6289569,2580.341298,1
58,2692.51199,2909.238714,19082.15655,502.4326563,203.5989453,13.98880653,770.4721022,1
59,2250.67564,9.197440462,4002.597364,2918.055965,181.247014,223.2834769,860.531253,1
60,3136.700344,595.7560261,6026.039848,720.6816991,57.43913399,399.8662312,1963.952309,1
61,1699.328913,231.862492,5057.288924,2296.313188,263.6207646,66.9996975,1237.354241,1
62,923.5855104,764.4477252,5912.436987,491.3720201,67.82407424,141.0757841,201.0106036,1
63,2113.007513,625.5521314,3092.08057,604.1579009,135.5043101,223.1235585,197.6545948,1
64,691.0858146,962.7498252,1645.791709,235.0178036,110.0572846,2.612974379,3616.912395,1
65,1289.180745,772.7273796,3024.665579,514.4976346,205.6085217,1757.947482,517.4208297,1
66,2208.640118,51.9482271,4658.843343,695.2002214,155.4006762,117.1669925,1949.161182,1
67,1019.521445,188.8736247,1967.670563,485.3400517,115.673111,2009.514165,295.5290878,1
68,4186.965693,568.3115744,5175.289931,1894.017233,132.12655,150.7471934,1547.777505,1
69,2042.975714,3669.970088,3006.304669,183.2619882,128.3882953,1438.262148,239.2184819,1
70,1940.482152,542.4671251,4158.659689,700.456123,163.6221592,296.3929177,533.0136895,1
71,3799.705243,20.36807622,7067.940102,9955.334291,201.5916381,204.6516936,734.0860483,1
72,1237.774642,134.5547621,13277.19388,1447.840274,103.8027755,1182.699068,700.0132639,1
73,1357.745468,4083.356201,1443.537654,184.9632376,26.61447758,753.5733466,2556.68963,1
74,3275.10383,37.87486476,1694.831262,338.3976605,102.8590322,511.7129639,172.3420791,1
75,1704.914887,367.1029705,5764.857501,332.4702024,90.04211852,447.256113,6281.39324,1
76,4174.257464,180.3276291,6522.521909,4045.176495,240.4456687,147.8088977,393.1792185,1
77,1699.890153,1352.559997,5162.948761,203.856429,92.48394794,376.5967216,2542.783564,1
78,14852.14951,280.9917974,3838.329262,5786.28064,179.6907176,62.11909659,721.2954681,1
79,1754.148204,1109.445896,1369.894593,2897.223207,57.48888003,462.1207191,562.1577406,1
80,2933.730685,258.9983529,7862.680549,3043.051327,343.704546,186.1234959,1952.866091,1
81,2939.511104,642.0619099,3130.061904,968.6096538,163.2416588,139.9397444,3732.125239,1
82,1662.990904,897.4235163,11500.85313,1718.180606,135.9452612,443.5996511,982.2609388,1
83,1261.071077,657.6113889,4000.472066,976.3070481,55.96777853,334.6528019,1463.919078,1
84,3638.749466,70.23437966,3124.883342,2229.63781,118.3704469,226.4494558,1619.399915,1
85,2835.208695,873.7113208,2933.253043,326.7894286,136.7716157,347.3194918,849.5287134,1
86,1995.264264,1206.896661,2146.153686,679.0027406,103.6459422,217.5423424,3099.836638,1
87,3517.620753,543.7818336,6271.406373,1845.739394,241.4570543,144.1415063,2392.058531,1
88,3548.382997,401.6725292,5875.368007,4065.966484,110.3562928,239.7313853,1112.803993,1
89,2215.573142,1920.08518,3478.850586,1204.472939,117.7237959,162.1752414,3074.077039,1
