id,CITED2,HMGA2,CCNG1,label
1,3942.203263,207.4949448,3518.865614,1
2,1171.040161,95.34301872,7642.085882,1
3,13142.79093,502.6168132,5538.49199,1
4,2047.447966,48.03528341,10656.59032,1
5,3417.29061,223.6224052,7320.228184,1
6,4198.063003,99.70916829,13330.24306,1
7,3970.388217,42.51677868,4160.028858,1
8,2831.503558,70.86268901,2752.048234,1
9,2253.291128,208.5839812,2860.309829,1
10,3156.493392,750.1228899,3894.144402,1
11,3139.325021,1153.194153,6184.79433,1
12,1770.346059,3825.984615,5306.072609,1
13,4409.443293,26.89522207,6041.100495,1
14,11743.83621,29.08465263,7103.46841,1
15,3210.113832,1445.979077,2693.303463,1
16,2871.843802,1059.096027,3764.0755,1
17,1168.181564,688.6418839,4046.53481,1
18,3431.223834,499.2323836,2162.571105,1
19,552.0635033,521.3399546,1177.110787,1
20,6466.16553,243.2012964,4833.566041,1
21,2931.767236,318.949986,10284.96395,1
22,1127.167484,852.1126684,2099.173239,1
23,1516.878187,807.1971001,6281.257265,1
24,1671.492466,207.146396,18170.97978,1
25,4292.360103,7132.335571,2951.089301,1
26,5508.400242,138.8075917,7632.887128,1
27,6081.163707,304.9147756,4876.519409,1
28,3793.811255,61.35594844,8658.368702,1
29,1433.739316,27117.62109,12536.33014,1
30,4982.370907,977.7544337,4105.177694,1
31,3108.04724,211.0684161,6042.270367,1
32,13191.4478,21.08178008,5630.512681,1
33,2069.88782,80.57211275,8298.954254,1
34,1901.732048,239.8057615,8451.642936,1
35,3330.053129,97.05449062,5091.575509,1
36,3540.191328,492.3516322,6096.515316,1
37,4599.150952,45.52318168,9395.252516,1
38,2560.596792,316.5662479,4157.951319,1
39,2636.08846,1730.022717,5403.387703,1
40,1394.219605,3449.142853,2597.649071,1
41,2221.127922,1059.944219,10663.63803,1
42,2478.97831,30.31731139,2972.324001,1
43,2787.578068,328.9606685,4997.202468,1
44,3909.45368,1904.6993,4617.355436,1
45,1253.277453,530.0382696,2210.437849,1
46,3193.103813,370.8478921,5590.116807,1
47,2430.926773,237.4944026,4010.033455,1
48,1714.07239,70.81174603,3627.399635,1
49,2239.142592,1428.13967,8665.85816,1
50,3226.973501,2425.001661,5325.25242,1
51,1536.079505,1820.059752,18238.96166,1
52,3148.657511,1187.876768,8488.38701,1
53,1502.713186,999.7990593,7159.219635,1
54,2365.932836,2926.39575,8490.235821,1
55,1907.000205,3539.696646,3888.157429,1
56,3543.696479,39.9217438,10703.7107,1
57,1760.047199,165.6049392,4206.007571,1
58,2692.51199,2909.238714,19082.15655,1
59,2250.67564,9.197440462,4002.597364,1
60,3136.700344,595.7560261,6026.039848,1
61,1699.328913,231.862492,5057.288924,1
62,923.5855104,764.4477252,5912.436987,1
63,2113.007513,625.5521314,3092.08057,1
64,691.0858146,962.7498252,1645.791709,1
65,1289.180745,772.7273796,3024.665579,1
66,2208.640118,51.9482271,4658.843343,1
67,1019.521445,188.8736247,1967.670563,1
68,4186.965693,568.3115744,5175.289931,1
69,2042.975714,3669.970088,3006.304669,1
70,1940.482152,542.4671251,4158.659689,1
71,3799.705243,20.36807622,7067.940102,1
72,1237.774642,134.5547621,13277.19388,1
73,1357.745468,4083.356201,1443.537654,1
74,3275.10383,37.87486476,1694.831262,1
75,1704.914887,367.1029705,5764.857501,1
76,4174.257464,180.3276291,6522.521909,1
77,1699.890153,1352.559997,5162.948761,1
78,14852.14951,280.9917974,3838.329262,1
79,1754.148204,1109.445896,1369.894593,1
80,2933.730685,258.9983529,7862.680549,1
81,2939.511104,642.0619099,3130.061904,1
82,1662.990904,897.4235163,11500.85313,1
83,1261.071077,657.6113889,4000.472066,1
84,3638.749466,70.23437966,3124.883342,1
85,2835.208695,873.7113208,2933.253043,1
86,1995.264264,1206.896661,2146.153686,1
87,3517.620753,543.7818336,6271.406373,1
88,3548.382997,401.6725292,5875.368007,1
89,2215.573142,1920.08518,3478.850586,1
90,2912.99205,800.877404,5673.106329,1
91,3133.855886,789.996523,4124.47173,1
92,2829.629548,1137.119242,6575.188553,1
93,3072.944907,23258.82956,1133.233743,1
94,2459.622308,256.1343321,4914.709486,1
95,1463.532077,250.4996447,7166.727809,1
96,10401.54496,1613.637813,3202.882954,1
97,5721.321599,1816.385209,7998.137568,1
98,769.9496309,386.8683521,4940.650627,1
99,1758.049699,540.2505944,3898.677737,1
100,4472.939584,297.0804498,8208.042722,1
101,4619.009026,1266.519789,17249.8795,1
102,2690.472648,2064.322345,7074.349771,1
103,2046.018912,232.9228279,6797.266374,1
104,1785.069118,160.3924637,6046.349045,1
105,1208.793951,342.6820491,3095.579789,1
106,2746.903462,35.3448177,2638.286269,1
107,3527.143548,3118.056786,10350.15688,1
108,1167.578748,1813.747755,6103.597943,1
109,1508.497244,669.4028155,24479.5841,1
110,2869.743761,299.9047739,4440.902405,1
111,3149.775549,264.8042993,3705.644204,1
112,3761.901137,13.32332833,14013.09171,1
113,1143.999504,401.1775755,5407.518264,1
114,3006.15403,2358.688869,14931.97313,1
115,498.0857771,4656.748021,4368.911632,1
116,3149.327374,1582.114275,6479.442471,1
117,5590.061068,55.38786869,9097.299075,1
118,1341.147233,745.3526197,3397.411565,1
119,7390.802626,0.302459072,34458.76862,1
120,2931.94792,16.13953672,6777.930106,1
121,2700.692807,40.20566108,5001.950869,1
122,3133.222188,2138.843574,3497.612394,1
123,2699.100449,1201.019549,4988.37969,1
124,2973.266723,4553.728019,4271.181615,1
125,1608.673984,4645.548161,2941.847013,1
126,2547.672796,43.67903359,14031.59906,1
127,2110.302691,361.2355928,11758.65072,1
128,1113.155039,1895.188365,2198.459178,1
129,2575.940929,434.6443124,4849.672612,1
130,2488.090415,648.3675715,5671.385712,1
131,4261.522141,98.71692399,4698.921555,1
132,554.6613641,373.9594185,2635.69365,1
133,3861.100978,344.3709748,6568.096018,1
134,1372.908852,380.1920855,4176.677769,1
135,4149.285113,108.4257162,3538.280963,1
136,959.4616739,138.5620103,3239.14063,1
137,5279.825761,963.3941763,4207.590575,1
138,2327.22881,1400.110016,6590.96846,1
139,3428.553502,964.9532051,4691.907948,1
140,1507.016112,218.7267393,3979.858854,1
141,2349.385511,56.06423361,7965.217412,1
142,3527.017651,333.2413051,6745.296836,1
143,2141.186402,11835.79226,1604.420887,1
144,4347.596053,789.8146054,3424.918131,1
145,2762.824104,1911.794098,6793.712019,1
146,1190.84241,1063.534724,1834.253313,1
147,1372.497076,472.63655,2816.547349,1
148,2814.535587,516.2257884,5162.290881,1
149,3384.521713,1090.253389,7091.990475,1
150,2096.941759,2628.790243,2259.574146,1
151,3281.868845,204.6178604,4399.898918,1
152,2909.594836,360.9858941,2362.698796,1
153,9654.560246,52.35494348,5861.119961,1
154,3694.853217,105.6657335,4229.102974,1
155,1354.049008,8599.402391,2384.369462,1
156,1969.434308,56.30241911,5153.910451,1
157,1426.775627,870.9223131,5095.991773,1
158,3596.032145,226.5672857,4414.866079,1
159,1183.57947,73.86651325,4035.54169,1
160,1430.550805,327.1049213,12659.88288,1
161,961.5013342,443.4165438,3820.265112,1
162,1995.316378,508.121583,10056.38281,1
163,1889.021632,119.241812,5265.994171,1
164,2441.12601,536.9060848,6536.210926,1
165,2588.154599,346.1815912,13908.40174,1
166,1770.16665,328.1284859,3875.858341,1
167,1193.181439,2873.366017,4535.514326,1
168,3728.570917,326.9085588,5102.954594,1
169,2834.787833,10068.40238,5513.705322,1
170,4759.860768,632.3233102,7654.612159,1
171,973.8782196,261.472865,11167.72824,1
172,2272.454561,42.62309815,9121.548122,1
173,3515.151273,98.3015148,5344.197632,1
174,3065.53042,267.7452618,6694.991065,1
175,3761.40704,2.755146691,13006.10877,1
176,3669.118446,1073.56894,10557.75297,1
177,1537.297288,910.4590066,5892.259045,1
178,1876.606221,1201.6265,3039.201662,1
179,1986.18876,1533.838382,7914.330559,1
180,1641.94859,224.3678525,3312.825091,1
181,1949.459309,45.43819599,4825.343315,1
182,4773.803838,202.016486,3649.697583,1
183,3863.907162,516.4405447,6128.11613,1
184,5052.088112,30.15438837,7324.267678,1
185,3985.141473,303.8948016,13217.77533,1
186,4163.683191,2071.596178,2911.787058,1
187,3011.516942,111.0173776,11449.6098,1
188,2042.59931,23.99260405,7337.087696,1
189,1981.093384,90.96639076,10824.89463,1
190,3325.451792,123.578935,4848.043706,1
191,1909.631509,1061.868423,2876.333614,1
192,5356.187576,78.88156803,4456.257184,1
193,1709.693495,195.6537033,4672.245996,1
194,1155.274024,875.8397328,7101.200638,1
195,2229.58466,72.76014852,2872.129115,1
196,7567.291858,144.0009902,6812.002255,1
197,1449.424922,77.45930414,1998.528604,1
198,1121.404528,561.4384642,6351.223549,1
199,2614.207052,23.17996751,3404.257743,1
200,1961.087022,2602.83725,3490.798127,1
201,2159.284642,160.1549774,5109.991908,1
202,799.1067808,831.1854147,6882.979388,1
203,3207.803618,371.8739834,3233.607082,1
204,3201.740971,249.9226815,10253.49056,1
205,5081.731171,1304.274588,6432.312847,1
