lncrna,miRNA,mRNA
TP73-AS1,hsa-mir-194,SDAD1
D63785,hsa-mir-422a,MEF2D
HNF1A-AS1,hsa-mir-661,CDK4
RP11-1094M14.8,hsa-mir-1269a,CXCL9
LINC00324,hsa-mir-3200,BCAT1
FGD5-AS1,hsa-mir-153,CITED2
OIP5-AS1,hsa-mir-367,SPARC
OIP5-AS1,hsa-mir-424,SPARC
OIP5-AS1,hsa-mir-143,SPARC
MCF2L-AS1,hsa-mir-105,SLC12A7
TMPO-AS1,hsa-let-7c,SLC12A7
TMPO-AS1,hsa-let-7b,SLC12A7
TMPO-AS1,hsa-let-7a,SLC12A7
TMPO-AS1,hsa-let-7f,SLC12A7
TMPO-AS1,hsa-let-7d,SLC12A7
TMPO-AS1,hsa-let-7i,SLC12A7
TMPO-AS1,hsa-let-7e,SLC12A7
TMPO-AS1,hsa-let-7g,SLC12A7
HCP5,hsa-mir-106b,KYNU
HCP5,hsa-mir-106a,KYNU
DLEU1,hsa-mir-106b,TTF2
DLEU1,hsa-mir-124,TTF2
DLEU1,hsa-mir-1224,TTF2
DLEU1,hsa-mir-3934,TTF2
HCP5,hsa-mir-106b,TTF2
HCP5,hsa-mir-1,TTF2
HCP5,hsa-mir-101,TTF2
HCP5,hsa-mir-106a,TTF2
PPP1R26-AS1,hsa-mir-122,TTF2
CCDC18-AS1,hsa-mir-124,TTF2
CCDC18-AS1,hsa-mir-1,TTF2
MCF2L-AS1,hsa-mir-105,TTF2
TMPO-AS1,hsa-let-7f,KIF21B
TMPO-AS1,hsa-let-7i,KIF21B
TRG-AS1,hsa-let-7f,KIF21B
TRG-AS1,hsa-let-7i,KIF21B
PPP1R26-AS1,hsa-mir-122,ACLY
DLEU1,hsa-mir-124,ACLY
DLEU1,hsa-mir-1224,ACLY
DLEU1,hsa-mir-940,ACLY
TMPO-AS1,hsa-let-7c,ACLY
TMPO-AS1,hsa-let-7b,ACLY
TMPO-AS1,hsa-let-7a,ACLY
TMPO-AS1,hsa-let-7f,ACLY
TMPO-AS1,hsa-let-7d,ACLY
TMPO-AS1,hsa-let-7i,ACLY
TMPO-AS1,hsa-let-7e,ACLY
TMPO-AS1,hsa-let-7g,ACLY
MCF2L-AS1,hsa-mir-105,MSI2
CCDC18-AS1,hsa-mir-1,MSI2
SH3BP5-AS1,hsa-mir-1193,MSI2
OIP5-AS1,hsa-let-7a,MSI2
OIP5-AS1,hsa-mir-105,MSI2
OIP5-AS1,hsa-mir-1179,MSI2
OIP5-AS1,hsa-mir-1197,MSI2
OIP5-AS1,hsa-mir-143,MSI2
TTC28-AS1,hsa-mir-103a,MSI2
TTC28-AS1,hsa-mir-106a,MSI2
TMPO-AS1,hsa-let-7c,MSI2
TMPO-AS1,hsa-let-7b,MSI2
TMPO-AS1,hsa-let-7a,MSI2
TMPO-AS1,hsa-let-7f,MSI2
TMPO-AS1,hsa-let-7d,MSI2
TMPO-AS1,hsa-let-7i,MSI2
TMPO-AS1,hsa-let-7e,MSI2
TMPO-AS1,hsa-let-7g,MSI2
TMPO-AS1,hsa-mir-1179,MSI2
HOTAIR,hsa-mir-126,CXCR4
H19,hsa-mir-29a,COL3A1
H19,hsa-mir-29a,FBN1
H19,hsa-mir-29a,COL5A2
H19,hsa-mir-29a,SPARC
MIR99AHG,hsa-mir-577,FOXP1
HCG18,hsa-mir-152,DNAJB12
XIST,hsa-mir-337,JAK2
CircHIPK3,hsa-mir-876,PIK3R1
BLACAT1,hsa-mir-149,KIF2A
LINC_00355,hsa-mir-15a,PHF19
HCG11,hsa-mir-942,BRMS1
CircNFATC3,hsa-mir-23b,RAI14
H19,hsa-mir-519d,LD
LINC00665,hsa-mir-379,GRP78
FENDRR,hsa-mir-4700,FOXC2
LINC00514,hsa-mir-204,KRAS
LINC00265,hsa-mir-144,CBX4
CircVAPA,hsa-mir-125b,STAT3
NKX2-1-AS1,hsa-mir-145,SERPINE1
BLACAT2,hsa-mir-193b,METTL3
BX357664,hsa-mir-183a,PTEN
HOXA-AS3,hsa-mir-29a,LTBR
LINC00936,hsa-mir-425,ZC3H12A
NEAT1,hsa-mir-500a,XBP1
SNHG11,hsa-mir-184,CDC25A
PINK1-AS,hsa-mir-200a,NAN
NCK1-AS1,hsa-mir-22,BCL9
MALAT1,hsa-mir-30e,UPF1
LINC00473,hsa-mir-16,CCND2
hsa_circ_0000117,hsa-mir-337,STAT3
HCP5,hsa-mir-128,HMGA2
CYTOR,hsa-mir-103,RAB10
CircBFAR,hsa-mir-513a,HK2
Circ_0049447,hsa-mir-324,PTPRD
Circ_0049447,hsa-mir-324,PTPRD
AL139002.1,hsa-mir-490,HAV
CA3-AS1,hsa-mir-93,BTG3
Circ_C16orf62,hsa-mir-421,TUBB2A
CircMCTP2,hsa-mir-99a,MTMR3
CircMCTP2,hsa-mir-99a,MTMR3
CTBP1-AS2,hsa-mir-139,MMP11
CTBP1-AS2,hsa-mir-139,MMP11
CUL2,hsa-mir-142,ROCK2
FBXL19-AS1,hsa-mir-431,ZEB1
GASL1,hsa-mir-106a,NAN
GCMA,hsa-mir-124,NAN
GCMA,hsa-mir-34a,NAN
HCG18,hsa-mir-197,NAN
HCP5,hsa-mir-27b,MET
hsa_circ_0004872,hsa-mir-224,SMAD4
JHDM1D-AS1,hsa-mir-450a-2,PRAF2
KCNQ1OT1,hsa-mir-4319,DRAM2
LBX2-AS1,hsa-mir-4766,CXCL5
LIFR-AS1,hsa-mir-29a,COL1A2
LINC00200,hsa-mir-143,SERPINE1
LINC00200,hsa-mir-143,SERPINE1
LINC00858,hsa-mir-363,FOXP4
LINC01089,hsa-mir-27a,TET1
LINC01503,hsa-mir-133a,VIM
LINC01572,hsa-mir-497,ATG14
LINC01667,hsa-mir-138,CYCLIN-E1
LOC400043,hsa-mir-21,NAN
LOC400043,hsa-mir-590,NAN
LOC400043,hsa-mir-27a,NAN
NEAT1,hsa-mir-27b,NAN
NEAT1,hsa-mir-1224,RSF1
NUTM2A-AS1,hsa-mir-376a,TET1
NUTM2A-AS1,hsa-mir-376a,HIF1A
SNHG11,hsa-mir-483,CTNNB1
SNHG11,hsa-mir-1276,CTNNB1
SNHG11,hsa-mir-483,ATG12
SNHG11,hsa-mir-1276,ATG12
SNHG3,hsa-mir-3619,ARL2
SNHG4,hsa-mir-204,NAN
SNHG7,hsa-mir-34a,LDHA
TMEM87A,hsa-mir-142,ULK1
TSPEAR-AS2,hsa-mir-1207,CLDN4
UCA1,hsa-mir-513a,CYP1B1
XIST,hsa-let-7b,NAN
CASC9,hsa-mir-370,EGFR
Circ_0009172,hsa-mir-485,NTRK3
DRAIC,hsa-mir-18a,H3K4ME3
HCP5,hsa-mir-106b,P21
HCP5,hsa-mir-519d,HMGA1
HCP5,hsa-mir-299,SMAD5
HIF1A-AS2,hsa-mir-429,PD-L1
HOTAIR,hsa-mir-148b,DNMT1
LIFR-AS1,hsa-mir-4698,MTUS1
LINC00184,hsa-mir-145,ANGPT2
LINC01207,hsa-mir-1301,PODXL
MSC-AS1,hsa-mir-142,DDX5
TMPO-AS1,hsa-mir-126,BRCC3
Circ-LDLRAD3,hsa-mir-224,NRP2
LINC00963,hsa-mir-612,CDC5L
MCM3AP-AS1,hsa-mir-138,FOXC1
Linc-ROR,hsa-mir-212,FGF7
Linc-ROR,hsa-mir-212,FGF7
CircLMO7,hsa-mir-30a,WNT2
CircRNA_0005529,hsa-mir-527,SP1
LINC00242,hsa-mir-1,G6PD
CircLMO7,hsa-mir-30a,WNT2
CircRNA_0005529,hsa-mir-527,SP1
LINC00242,hsa-mir-1,G6PD
circ-SFMBT2,hsa-mir-885,CHD7
circEVI5,hsa-mir-4793,FOXO1
CDR1as,hsa-mir-876,GNG7
LINC00511,hsa-mir-195,SOX4
CCAT1,hsa-mir-140,ATG5
NEAT1,hsa-mir-30a,COX-2
NEAT1,hsa-mir-30a,BCL9
LOC100505817,hsa-mir-20a,WT1
MIR503HG,hsa-mir-224,TUSC3
CES4,hsa-mir-616,DUSP2
NR2F1-As1,hsa-mir-493,MAP3K2
RGMB-AS1,hsa-mir-574,HDAC4
IGF2-AS,hsa-mir-195,CREB1
ASNR,hsa-mir-519e,FGFR2
RP11-874J12.4,hsa-mir-3972,SSR2
LINC01320,hsa-mir-495,RAB19
UBE2CP3,hsa-mir-138,ITGA2
ANRIL,hsa-mir-181a,ANRIL
ANRIL,hsa-mir-181a,CCNG1
DLEU2,hsa-mir-30a,ETS2
SNHG3,hsa-mir-326,TWIST
HYPAL,hsa-mir-431,CDK14
UCA1,hsa-mir-145,MYO6
AFAP1-AS1,hsa-mir-205,AFAP1
NEAT1,hsa-mir-142,JAG1
XIST,hsa-mir-101,EZH2
LINC01224,hsa-mir-193a,CDK8
HCG18,hsa-mir-141,WIPF1
